Position,Connected On
IVA Engineer,17-Aug-19
Conversational AI Lead,16-Aug-19
"Talent Sourcing - Products, Platforms & AI/ ML Labs",16-Aug-19
Sr. Director of Product Management,16-Aug-19
Junior Associate,16-Aug-19
Product Manager,16-Aug-19
Content Writer,16-Aug-19
DevOps Engineer,16-Aug-19
NLP Research Engineer,16-Aug-19
Integral Risk Management Supervisor,16-Aug-19
,16-Aug-19
"Chief Data Scientist, CoE AI/ML",14-Aug-19
Data Analyst,14-Aug-19
Data Scientist,13-Aug-19
Assistant Professor,13-Aug-19
Data Scientist,13-Aug-19
Data Analyst,13-Aug-19
Frontend Lead,13-Aug-19
Engineer - Windows,12-Aug-19
Enterprise Architect & OSS Specialist,12-Aug-19
Software Engineer,12-Aug-19
MSc Student,12-Aug-19
Tech,12-Aug-19
Advisory Software Engineer,11-Aug-19
Data Science Global Ambassador at Z by HP & NVIDIA .,11-Aug-19
Chief Data Scientist,11-Aug-19
Research Engineer,11-Aug-19
Lead AI/ML Engineer,11-Aug-19
CEO,11-Aug-19
Principal Architect - CTO Office,11-Aug-19
Data Analyst,11-Aug-19
Junior Android Developer,11-Aug-19
Secure and Private AI Scholarship Challenge Scholar,11-Aug-19
Human Resources Specialist,11-Aug-19
COO,11-Aug-19
Blockchain Researcher and Developer,10-Aug-19
Associate Risk Engineer,09-Aug-19
Technical Recruiter,09-Aug-19
,09-Aug-19
部長,08-Aug-19
"State Treasurer, Tamilnadu",07-Aug-19
EIR,07-Aug-19
System Engineer,07-Aug-19
Content Writer,07-Aug-19
Coder,06-Aug-19
IT recruitment manager,06-Aug-19
Member,06-Aug-19
Software Engineer,05-Aug-19
,05-Aug-19
"Chief Executive, Professor, and Researcher ",02-Aug-19
Student Mentor,02-Aug-19
Software Engineer,01-Aug-19
Engineer,01-Aug-19
Artificial Intelligence/Machine Learning Expert,01-Aug-19
"Principal UX Designer - HoloLens, Mixed Reality",31-Jul-19
Manager - Operations,31-Jul-19
Deep Learning and Neural Networks,31-Jul-19
Talent Acquisition Specialist,30-Jul-19
IT recruiter,30-Jul-19
Initiator,30-Jul-19
Software Development Engineer ,29-Jul-19
Chief Data Scientist,29-Jul-19
💻,29-Jul-19
Principal Engineer,29-Jul-19
Lead Security/Threat Researcher -India ,28-Jul-19
Founder,28-Jul-19
Senior Machine Learning Engineer,28-Jul-19
Analyst,28-Jul-19
Graduate Analyst,28-Jul-19
System Engineer,28-Jul-19
Data Scientist,28-Jul-19
Domain head in Research and development ,27-Jul-19
Advisory Research Engineer,27-Jul-19
Head of Electrical Engineering,27-Jul-19
"Data Scientist, AIML-ADM",27-Jul-19
Software Engineer - AUTOSAR,27-Jul-19
Dispatcher,27-Jul-19
Data Analyst,27-Jul-19
Project Engineer - ETL Developer,27-Jul-19
Data Science Lead,27-Jul-19
Principal Architect - Pharmaceutical & AWS Site Reliability Engineering Team Lead,27-Jul-19
Senior Consultant,27-Jul-19
Associate Director,27-Jul-19
Founder,27-Jul-19
Sales Engineer,27-Jul-19
Global Market & Business Analyst,27-Jul-19
Senior Functional Consultant,27-Jul-19
Intern,27-Jul-19
Commercial Sales & Operations Analyst,27-Jul-19
Founder & CEO,27-Jul-19
Lead Analyst - Data Science,27-Jul-19
Software Engineer,27-Jul-19
,27-Jul-19
Process Architect,27-Jul-19
Independent Consultant,27-Jul-19
Founder,26-Jul-19
Founder & Chief Architect at walletever,26-Jul-19
Android Team Lead,26-Jul-19
Graduate Student,26-Jul-19
Lead Data Scientist,26-Jul-19
Machine Learning Engineer,26-Jul-19
Django Developer,26-Jul-19
Web Designer,26-Jul-19
Full Stack Developer Intern,25-Jul-19
Student,25-Jul-19
Business Development Manager,25-Jul-19
Student,25-Jul-19
Riscos,25-Jul-19
Co-Founder,25-Jul-19
Machine Learning Engineer,25-Jul-19
.NET sofware engineer,24-Jul-19
Backend Developer Intern,24-Jul-19
Techno-Management Head,24-Jul-19
Associate Machine Learning Engineer,24-Jul-19
Senior Data Science Associate,24-Jul-19
Joint Secretary,24-Jul-19
Software Analyst,24-Jul-19
Associate Data Scientist,24-Jul-19
Thesis Supervisor for upGrad’s Programs,24-Jul-19
Analyst,24-Jul-19
Data Practitioner,24-Jul-19
,24-Jul-19
Application Developer,24-Jul-19
trainee at Qedge technologys,24-Jul-19
Freelance Software Developer,24-Jul-19
Associate Software Engineer,24-Jul-19
Human Resources Executive,24-Jul-19
Graduate Engineer Trainee,24-Jul-19
Product Development Engineer,23-Jul-19
Front-End Developer,23-Jul-19
Business Analyst,23-Jul-19
Applied Research Intern,23-Jul-19
Project Engineer,23-Jul-19
Associate,23-Jul-19
Technical Content Writer,23-Jul-19
Proprietor,23-Jul-19
Advisor,23-Jul-19
Associate,23-Jul-19
Intern,23-Jul-19
Junior Data Scientist,23-Jul-19
,23-Jul-19
Digital Marketing Executive,23-Jul-19
Data Scientist,23-Jul-19
Delivery Partner,23-Jul-19
Founder,23-Jul-19
Data Scientist,23-Jul-19
Student,23-Jul-19
,23-Jul-19
Data Scientist,23-Jul-19
Sales Consultant,23-Jul-19
Research Assistant,23-Jul-19
Data Science Trainee ,23-Jul-19
Software Engineer,23-Jul-19
Senior Software Developer,23-Jul-19
,23-Jul-19
Senior Manager Data Science,23-Jul-19
Vice President - Product Management,23-Jul-19
Lead Data Scientist,23-Jul-19
Data Science Manager,23-Jul-19
,23-Jul-19
Data Analyst Intern ( ML/AI),23-Jul-19
Businessman,22-Jul-19
"Assistant Vice President, Risk Engineering - Digital Solutions",22-Jul-19
Business Owner,22-Jul-19
Copyeditor,22-Jul-19
Associate Software Engineer,22-Jul-19
Core Team Member,22-Jul-19
Product Associate Intern,22-Jul-19
Lead Data Science Analyst,22-Jul-19
Freelance Web Developer,22-Jul-19
Sub Director Serviço Apoio ao Cliente,22-Jul-19
Software Engineer,20-Jul-19
Research Engineer,20-Jul-19
Founder,20-Jul-19
Research Intern,20-Jul-19
,20-Jul-19
"Program Coordinator, Developer Relations Team India",20-Jul-19
Trainer in Statistics | Data Science | A/B Testing | Synthetic Data | Digital Transformation |GROWTH,20-Jul-19
Data Analyst,20-Jul-19
,20-Jul-19
Personality Development Mentor at Uplift Project ,20-Jul-19
Senior Software Architect,20-Jul-19
Independent Contractor,20-Jul-19
Manager,19-Jul-19
Physical Design Engineer 1,19-Jul-19
Internship,19-Jul-19
Software Engineer,19-Jul-19
Student,19-Jul-19
"Зам.директора по развитию по роботизации производства, МВА",19-Jul-19
Business Owner,19-Jul-19
Director,19-Jul-19
Data Scientist,19-Jul-19
Data Scientist,19-Jul-19
Student Secretary,19-Jul-19
Business Analyst Intern,19-Jul-19
Co-Founder and CEO,19-Jul-19
Data Engineer,19-Jul-19
Student,18-Jul-19
Machine Learning Specialist,18-Jul-19
Committee Head,18-Jul-19
Vice content Head,18-Jul-19
Associate Consultant,18-Jul-19
Senior Data Analyst,18-Jul-19
Intern,18-Jul-19
Technical Consultant,18-Jul-19
Co-Founder,17-Jul-19
Professor ,17-Jul-19
Machine Learning Research Engineer,17-Jul-19
Data Scientist,17-Jul-19
Independent Consultant,17-Jul-19
Frontend Developer,17-Jul-19
Project Lead,17-Jul-19
Software Engineer,16-Jul-19
SDE,16-Jul-19
Associate Consultant,16-Jul-19
Academic Tutor,16-Jul-19
CEO,16-Jul-19
,16-Jul-19
Red Hat Regional Synergy Leader - IBM Global Technology Services ,16-Jul-19
,16-Jul-19
Professor of Mechanical Engineering Department,16-Jul-19
Software Engineer,16-Jul-19
Intern,16-Jul-19
,16-Jul-19
Affiliate Marketing Specialist,16-Jul-19
Data Scientist/Deep Learning Engineer,15-Jul-19
System Analyst,15-Jul-19
AI Data Scientist,15-Jul-19
Sourcing Manager,15-Jul-19
Mechanical Engineer Trainee,15-Jul-19
"CEO, FOUNDER",15-Jul-19
"Web Development, Brand Development & Marketing",15-Jul-19
Student,15-Jul-19
Co-Founder,15-Jul-19
Analog Design Intern,15-Jul-19
Head of China Representative Office,15-Jul-19
Machine Learning Intern,15-Jul-19
Web Head,15-Jul-19
Head of Recruitment,15-Jul-19
Human Resources Manager,15-Jul-19
Associate Research Executive ,14-Jul-19
Intern,14-Jul-19
"Lead Data Scientist, Payer Innovation Lab",14-Jul-19
Digital Consultant,14-Jul-19
Co-Founder and COO,14-Jul-19
Talent Acquisition Manager,14-Jul-19
Chief Executive Officer,14-Jul-19
Data Science,14-Jul-19
Assistant Professor,14-Jul-19
,14-Jul-19
TELECOMMUNICATIONS,14-Jul-19
Professional Freelancer,14-Jul-19
Content Writer,14-Jul-19
Senior Software Developer,14-Jul-19
Student Member,14-Jul-19
"Leader - Optimus, Artifical Intelligence platfrom",14-Jul-19
Java Technical Lead,14-Jul-19
Research Assistant,14-Jul-19
Head Of Growth and Partnerships,14-Jul-19
Product Manager,14-Jul-19
"Co-founder: Leading Investments & Partnerships, CTO/CPO",14-Jul-19
Senior Software Engineer,14-Jul-19
Human Resource Executive,13-Jul-19
Founder,13-Jul-19
"Principal Data Scientist, Consultant",13-Jul-19
Manager - Data Science & Professional Services,13-Jul-19
Software Architect,13-Jul-19
Oracle Engineered Systems | Cloud Computing,13-Jul-19
Intern,13-Jul-19
Software Developer,13-Jul-19
Solutions Architect,13-Jul-19
Senior Software Engineer,13-Jul-19
"Products, Marketing and Presales Analyst",13-Jul-19
Jr. Cloud Engineer,13-Jul-19
,13-Jul-19
Business Consultant,13-Jul-19
Marketing Intern,13-Jul-19
Winner,13-Jul-19
I.T. Analyst,13-Jul-19
,12-Jul-19
President & Chief Innovation Officer,12-Jul-19
Mentor,12-Jul-19
Contributor,12-Jul-19
Director & Co Founder,12-Jul-19
Analyst,12-Jul-19
JavaScript Engineer,12-Jul-19
JavaScript Software Engineer,12-Jul-19
Data Scientist,11-Jul-19
,11-Jul-19
Administrativo y ventas atención al cliente. Empleado pivote (Man Power),11-Jul-19
,11-Jul-19
Safety Engineer,11-Jul-19
UX Designer,11-Jul-19
Machine Learning Designer,11-Jul-19
Assistant Consultant,11-Jul-19
Executive Search & Alumni Relations,11-Jul-19
UI Engineer (Contract) at Gap Inc.,11-Jul-19
Campus Ambassador,11-Jul-19
Mentor Buddies,10-Jul-19
Software Development Engineering Intern,10-Jul-19
"DWH/BI Consultant - Architect, Analyst, Advisor",10-Jul-19
Founder,10-Jul-19
HR Manager,10-Jul-19
Faculty of Business Analytics (Post-Graduate),10-Jul-19
Founder,10-Jul-19
,10-Jul-19
"Vice President, Data Science",10-Jul-19
Computer Vision Intern,10-Jul-19
UX Motion Designer,10-Jul-19
Kaggle Product Manager,10-Jul-19
Consultant,09-Jul-19
Senior Software Engineer,09-Jul-19
Associate Software Engineer,09-Jul-19
Deep Learning Mentor,09-Jul-19
Microsoft Learn Student Ambassador,09-Jul-19
IT recruiter ,09-Jul-19
Менеджер по логистике,09-Jul-19
Assistant Vice President - Risk Engineer,09-Jul-19
Senior Oracle Developer,09-Jul-19
Team Leader,09-Jul-19
it рекрутер ,09-Jul-19
Risk Engineer,09-Jul-19
Machine Learning Trainer @TWSS,09-Jul-19
ISWM/QRP Program Manager,09-Jul-19
Research Engineer,09-Jul-19
Junior Team Member,08-Jul-19
Internship Trainee,08-Jul-19
,08-Jul-19
Technology Associate,08-Jul-19
Digital Marketing ,08-Jul-19
Senior Quality Assurance Analyst,08-Jul-19
Senior Business Development Executive,08-Jul-19
Professor,08-Jul-19
Senior Data Scientist,08-Jul-19
Data Visualization Engineer,07-Jul-19
Data Analyst,07-Jul-19
Data Analyst,07-Jul-19
Data Analyst,07-Jul-19
freelancer,07-Jul-19
Business Analyst,07-Jul-19
Junior Software Developer,07-Jul-19
Software Engineer,07-Jul-19
Senior Software Engineer,07-Jul-19
Intern Trainee,06-Jul-19
Senior Data Scientist,06-Jul-19
Technical Success Engineer,06-Jul-19
Co-Founder & Director,06-Jul-19
Senior JS Developer,06-Jul-19
"Principal Architect, Network Architecture and Planning",06-Jul-19
Data Scientist,06-Jul-19
Sales Strategy Senior Operations Associate,06-Jul-19
Sr. HR Executive,06-Jul-19
Founder and Chief Innovation Officer,06-Jul-19
Data Scientist,06-Jul-19
"Data Scientist, NLP",06-Jul-19
Partner & Product Strategist,06-Jul-19
Co-Founder & Chief Product Officer,05-Jul-19
Managing Director,05-Jul-19
Analyst,05-Jul-19
Senior Software Engineer,05-Jul-19
Artificial Intelligence Engineer,05-Jul-19
Director of Sales,05-Jul-19
GET - Research & Development,05-Jul-19
"Data Science Manager, Platform",05-Jul-19
Director Of Engineering,05-Jul-19
Analyst,05-Jul-19
,05-Jul-19
Руководитель,05-Jul-19
Research Assistant Professor,05-Jul-19
Founder&CEO,05-Jul-19
Software Engineer,05-Jul-19
,05-Jul-19
,05-Jul-19
Team Manager,05-Jul-19
"Chief AI Scientist, TensorLabs",05-Jul-19
Summer Intern,04-Jul-19
Associate Software Engineer,04-Jul-19
Director,04-Jul-19
Data Science Manager,04-Jul-19
CEO,04-Jul-19
CIO,04-Jul-19
Founder,04-Jul-19
Full Stack Developer,04-Jul-19
Research Intern,04-Jul-19
,04-Jul-19
Machine Learning Intern,04-Jul-19
Software Engineer,04-Jul-19
Software Engineer (Scientific Computing),03-Jul-19
Developer,03-Jul-19
Senior Recruitment Specialist,03-Jul-19
Customer Solutions Data Scientist ,03-Jul-19
Chief Data Scientist EMEA,03-Jul-19
Software Engineering AMTS,03-Jul-19
Tech Lead | Java Developer,03-Jul-19
Course Manager,03-Jul-19
Lead AI Developer,03-Jul-19
,03-Jul-19
Svc info developer,03-Jul-19
Senior Data Scientist,03-Jul-19
HR manager,02-Jul-19
"Co-Founder, Product Manager",02-Jul-19
"Sr. Vice President, B2B Experiences",02-Jul-19
Senior Data Manager,02-Jul-19
Senior Data Scientist / AI Researcher,02-Jul-19
Data Scientist,02-Jul-19
Senior Recruiter,02-Jul-19
Senior Machine Learning Engineer,02-Jul-19
"Director, Machine Learning ",02-Jul-19
Senior Applied Data Scientist,02-Jul-19
Co-Founder & CEO,02-Jul-19
Senior Executive Recruiter,02-Jul-19
Business Intelligence Lead - Staples (East and West),02-Jul-19
IT Recruiter / Headhunter,02-Jul-19
Аналитик,02-Jul-19
Founder ,02-Jul-19
Senior Software Engineer In Test,02-Jul-19
Software Development Manager,02-Jul-19
Founder,02-Jul-19
"Avera AI team founding member [architect, engineering]",02-Jul-19
Lead Developer,02-Jul-19
Research Engineer,02-Jul-19
HR manager / IT Recruiter,02-Jul-19
Co-Founder & CEO,02-Jul-19
Senior Product Manager,02-Jul-19
Independent Business Owner,02-Jul-19
,02-Jul-19
Machine Learning Engineer,02-Jul-19
Recruiter,02-Jul-19
CEO & Founder,02-Jul-19
Founder,02-Jul-19
Lead Data Scientist,02-Jul-19
Mechatronic Department Manager,01-Jul-19
Research engineer,01-Jul-19
Research Fellow,01-Jul-19
RPA Developer,01-Jul-19
Digital Marketing Specialist,01-Jul-19
Developer Advocate,01-Jul-19
Recruiter,01-Jul-19
.,01-Jul-19
Acadmic Mentor,01-Jul-19
Data Science,01-Jul-19
estagiario analista de sistemas,01-Jul-19
Artificial Intelligence Engineer,01-Jul-19
Research Scientist,01-Jul-19
Managing Director,01-Jul-19
SR. Technical Recruiter ,01-Jul-19
Karriereberaterin PERM4| IT/TK –  Softwareentwicklung Java,01-Jul-19
Talent Acquisition,01-Jul-19
Program Manager,01-Jul-19
Tech Lead,01-Jul-19
Big Data Architect,01-Jul-19
IT Recruiter,01-Jul-19
Principal consultant-Recruitment,01-Jul-19
Head of Data Science,01-Jul-19
Roboticist,01-Jul-19
Staff Scientist,01-Jul-19
Lecturer,30-Jun-19
Data Scientist,30-Jun-19
Founder and CTO,30-Jun-19
Python Developer,30-Jun-19
Co-Founder,30-Jun-19
Media Analyst,30-Jun-19
,30-Jun-19
,30-Jun-19
Data Science Intern,30-Jun-19
Senior Credit Risk Analyst,30-Jun-19
Application Developer,30-Jun-19
Senior Technical Consultant,30-Jun-19
Senior Data Scientist,30-Jun-19
Junior Data Scientist,30-Jun-19
Electrical and Instrumentation Supervisor,30-Jun-19
Founder,30-Jun-19
Software Development Engineer,30-Jun-19
Data Scientist,30-Jun-19
Recruiter,30-Jun-19
Chief Technology Officer,30-Jun-19
Analyst,30-Jun-19
"Manager, Customer Experience & Presales (APJ)",30-Jun-19
Chief Data Scientist | SAP Technical Lead,30-Jun-19
Senior Cyber R&D Researcher,30-Jun-19
"Senior Principal Software Engineer, Machine Learning",30-Jun-19
Associate Vice President,30-Jun-19
Institutional Data Scientist,30-Jun-19
"Consultant, Corporate Trainer- Data Analytics, Machine Learning",30-Jun-19
Data Scientist,29-Jun-19
Associate Director,29-Jun-19
Owner,29-Jun-19
Director of AI,29-Jun-19
Founder,29-Jun-19
Chief Operating Officer / Co-Founder,29-Jun-19
Senior Data Scientist,29-Jun-19
Senior Data Scientist,29-Jun-19
Senior Data Scientist,29-Jun-19
Senior Software Engineer,29-Jun-19
"Head of ICT Promotion Bureau, In charge of mission at ICT Minister Cabinet",29-Jun-19
Head of Data Science,29-Jun-19
Head Of Consulting | Partner,29-Jun-19
Research Scientist,29-Jun-19
Deep Learning Research Scientist,29-Jun-19
Senior Technical Recruiter,29-Jun-19
VP - Data Science,29-Jun-19
Data Scientist,29-Jun-19
Tech Lead - Data Scientist,29-Jun-19
Talent Partner - II,29-Jun-19
Data Scientist,29-Jun-19
Adjunct Faculty - Data Science,29-Jun-19
Founding Member,29-Jun-19
Data Scientist,29-Jun-19
Data Analyst,29-Jun-19
Postdoctoral Research Fellow,29-Jun-19
"Data Scientist, AWS",29-Jun-19
Cloud Solution Architect | AI One Commercial Partner,29-Jun-19
"CEO, Founder & Chief Data Scientist",29-Jun-19
Python/django developer,29-Jun-19
Global Youth Fellow,29-Jun-19
Director of Data Science Education,29-Jun-19
Machine Learning Engineer,29-Jun-19
Co-Founder,29-Jun-19
Intern,29-Jun-19
none,29-Jun-19
Machine Learning Engineer,29-Jun-19
Project Head,29-Jun-19
Undergraduate Student,29-Jun-19
Digital Marketing Manager and Lead Generation Expert,29-Jun-19
Co-Founder and CTO,29-Jun-19
Principal Data Scientist,29-Jun-19
,29-Jun-19
Deputy Manager Data Science and Analytics ,29-Jun-19
Frontend Web Developer,29-Jun-19
Freelance,29-Jun-19
IQAC -Internal Quality Assurance Cell ,29-Jun-19
Software Engineer,29-Jun-19
Assistant Manager HR,29-Jun-19
"In-charge, Startup and Innovation forum",28-Jun-19
Business Analyst/Data Analyst,28-Jun-19
Deep Learning Engineer,28-Jun-19
Software Engineer,28-Jun-19
Специалист по поддержке пользователей SAP,28-Jun-19
Testing Engineer,28-Jun-19
Data Analyst ( Machine Learning + Multichannel Marketing),28-Jun-19
,28-Jun-19
Graduate Teaching Assistant,28-Jun-19
Consultant,28-Jun-19
Software Engineer,28-Jun-19
Software Trainee,28-Jun-19
Chief Technology Officer,28-Jun-19
Data Analyst,28-Jun-19
"Agile Lead, Coach and Senior C++ Algorithm Engineer",28-Jun-19
Machine Learning Engineer,28-Jun-19
Co-Founder & Head - Marketing,27-Jun-19
HR Partner,27-Jun-19
Full Stack Engineer,27-Jun-19
System Engineer,27-Jun-19
